permutation_edit_distance,permutation_rouge1_distance,permutation_rouge2_distance,accuracy
1.0,0.5888888888888888,0.7931034482758621,0.3277777777777778
1.0,0.6033630296141081,0.7861011796163003,0.4074074074074074
0.8333333333333334,0.4977478418267892,0.6650729370041053,0.37592592592592594
1.0,0.5644950564971751,0.7635757089340993,0.35
1.0,0.5990119041719175,0.792273827249704,0.4444444444444444
0.5,0.30005122950819674,0.39716530558520724,0.37407407407407406
1.0,0.6036631754512087,0.7970381022062202,0.3962962962962963
0.8333333333333334,0.4979217116727902,0.6472533666462055,0.3962962962962963
1.0,0.5875827951647623,0.791106950728397,0.3888888888888889
0.6666666666666667,0.37574404761904756,0.5211071286340103,0.3962962962962963
0.8333333333333334,0.46799884437596306,0.6343571898344404,0.40185185185185185
1.0,0.5888180896984054,0.7698264553573109,0.4148148148148148
0.6666666666666667,0.394407397116483,0.528516889340046,0.39444444444444443
0.6666666666666667,0.39984631147540983,0.5340805540368143,0.37407407407407406
0.8333333333333334,0.46680348918470627,0.6254269911830828,0.35185185185185186
1.0,0.5769640083103893,0.7516135587137677,0.4
0.8333333333333334,0.48750000000000004,0.659793460497947,0.40370370370370373
1.0,0.5817313410645257,0.7693453793057642,0.43148148148148147
0.8333333333333334,0.5029662042172827,0.6539172715703234,0.38333333333333336
0.8333333333333334,0.47935857403070525,0.6336321571077075,0.3
1.0,0.5879508527501025,0.7748094731576891,0.40555555555555556
0.8333333333333334,0.4823772596765096,0.6200746543481821,0.4425925925925926
0.8333333333333334,0.5029662042172827,0.6539172715703234,0.4203703703703704
0.8333333333333334,0.47950087822014054,0.6329871534273162,0.3888888888888889
0.6666666666666667,0.41640211640211644,0.5430563406821178,0.3907407407407407
0.5,0.27008217770929643,0.3655399855333652,0.42962962962962964
0.6666666666666667,0.394407397116483,0.528516889340046,0.35
0.5,0.2868698385307531,0.39217789952253235,0.45925925925925926
0.5,0.29756944444444444,0.4063774564330739,0.3814814814814815
0.6666666666666667,0.3839912280701755,0.5178833910016707,0.43148148148148147
0.6666666666666667,0.3703591606133979,0.4983755685510072,0.3314814814814815
0.6666666666666667,0.3704790031061217,0.4977238935793422,0.48148148148148145
0.6666666666666667,0.37896174863387977,0.5014482490617305,0.4
0.5,0.2911657559198543,0.3920709136956946,0.4425925925925926
0.6666666666666667,0.37631154156577884,0.4983755685510072,0.45
0.5,0.2875,0.39542564440599304,0.39444444444444443
0.5,0.29996295267203854,0.396332981294069,0.3814814814814815
0.5,0.30005122950819674,0.39716530558520713,0.42777777777777776
0.33333333333333337,0.22751322751322756,0.278688524590164,0.4962962962962963
0.5,0.3137566137566137,0.39586679467968333,0.4166666666666667
0.33333333333333337,0.17575757575757578,0.23270440251572333,0.48518518518518516
0.5,0.29979508196721305,0.3855924971288558,0.362962962962963
0.33333333333333337,0.19999999999999984,0.24867724867724872,0.4203703703703704
0.33333333333333337,0.19774011299435035,0.2514619883040936,0.43703703703703706
0.0,0.0,0.0,0.46111111111111114
0.33333333333333337,0.20218579234972678,0.2768361581920904,0.4444444444444444
0.33333333333333337,0.19774011299435035,0.2514619883040936,0.42962962962962964
0.33333333333333337,0.16666666666666663,0.24691358024691346,0.5
0.33333333333333337,0.20000000000000007,0.26436781609195403,0.37592592592592594
0.33333333333333337,0.18888888888888877,0.26436781609195403,0.40925925925925927
0.33333333333333337,0.19298245614035092,0.2606060606060606,0.4666666666666667
